test_rmse,fit_time,test_time,Algorithm,n_factors,n_epochs
0.7995926928120872,1.0548120339711506,4.080428282419841,SVD,2,1
0.6934261744440852,6.255171616872151,3.604069232940674,SVD,2,10
0.6713035674244946,12.508769353230795,3.5741142431894937,SVD,2,20
0.6573392668332008,23.937655687332153,4.079502026240031,SVD,2,50
0.6542182191748672,36.534952878952026,3.96649702390035,SVD,2,100
0.799750917180058,1.1787827809651692,4.519616921742757,SVD,5,1
0.6937649893891233,6.74972407023112,3.6107025146484375,SVD,5,10
0.6719159516232271,12.856118043263754,4.166632334391276,SVD,5,20
0.6584938467377079,26.04845730463664,4.380186478296916,SVD,5,50
0.657710163692616,37.25536394119263,3.8864425818125405,SVD,5,100
0.8000417752915144,1.2710550626118977,2.5876919428507485,SVD,10,1
0.6941046087902975,7.762769778569539,4.688828547795613,SVD,10,10
0.6725325155170694,14.695122400919596,3.1998534202575684,SVD,10,20
0.6601852995524223,30.599877913792927,4.569231271743774,SVD,10,50
0.6626553735418076,46.2292677561442,3.524699052174886,SVD,10,100
0.8004788676855904,1.5173203945159912,4.622092644373576,SVD,20,1
0.6951777056173878,9.538297653198242,3.5206759770711265,SVD,20,10
0.6738090214993417,19.113622744878132,4.731102625528972,SVD,20,20
0.6632619435509456,36.72798538208008,4.689793348312378,SVD,20,50
0.6679065586705878,55.066872676213585,3.924140294392904,SVD,20,100
0.8016603350487772,1.8308173815409343,3.853092908859253,SVD,40,1
0.6965906813921413,13.248175303141275,5.142404715220134,SVD,40,10
0.6760806665462463,24.04265038172404,3.954538265864054,SVD,40,20
0.6682224437336145,45.41596229871114,2.650177240371704,SVD,40,50
0.6736005196852997,68.46068366368611,2.55921737353007,SVD,40,100
